Correct	Eps	Cds	T
1	0.0248820974017832	->	3.55057287216187
1	0.0201418151094601	->	3.45156407356262
1	0.00370194963047243	->	2.33661389350891
0	-0.00589883163206506	<-	2.33202815055847
1	0.0147939804419692	->	28.5439698696136
1	0.0048325501966463	->	22.8433179855347
1	0.0111954153111948	->	37.775995016098
1	0.00701476429068582	->	38.2387478351593
1	0.0108559749217683	->	49.2941701412201
1	0.0122070157944215	->	37.3599228858948
1	0.00906778762354099	->	38.1717691421509
1	0.0287809006201657	->	33.816253900528
1	0.00558194216665053	->	3.78731989860535
0	-0.0118871144610346	<-	3.57615184783936
0	-0.00325400137869947	<-	6.22276997566223
1	0.0184889847154374	->	3.64541792869568
0	-0.00281437689555097	<-	34.1516969203949
1	0.000699771519300341	->	4.67384696006775
1	0.022867116117452	->	1.8491108417511
0	-0.028070273755935	<-	4.64774394035339
0	-0.0184312177504379	<-	2.60689377784729
1	0.0150396893234542	->	2.7554988861084
1	0.00290237698219498	->	2.88519501686096
1	0.0060159021485382	->	4.35653901100159
0	-0.00809763958491061	<-	7.45674204826355
1	0.0237540124607225	->	14.138692855835
1	0.00739007565983651	->	9.58922505378723
1	0.0198291398688055	->	9.79391503334045
1	0.000346759002798014	->	7.06437993049622
1	0.0366383457566241	->	7.08691191673279
1	0.0343296693183734	->	7.49042296409607
1	0.015477144143344	->	9.73545479774475
1	0.00250930222428325	->	2.31610298156738
1	0.0165773181678972	->	2.57298183441162
0	-0.0132674380950365	<-	2.46273803710938
1	0.00398388974916597	->	2.33457016944885
0	-0.0258233774730339	<-	3.59703516960144
1	0.00921616067454367	->	5.85781192779541
1	0.0169973448293	->	4.15813684463501
1	0.00512337409760255	->	4.03907203674316
0	-0.00149700453363011	<-	5.61965584754944
1	0.163284688823344	->	76.3684220314026
0	-7.8915203298946e-05	<-	109.670693874359
1	6.1577564561266e-05	->	42.6856229305267
0	-0.00290606351856748	<-	62.4962050914764
0	-0.00199088726658014	<-	86.4713850021362
1	-0.0665987617589673	<-	2.31424117088318
0	0.00453674305819651	->	3.71339893341064
1	-0.00798453764444373	<-	4.4823100566864
0	0.00499065277656552	->	2.29785704612732
0	0.0287539920531534	->	2.55550098419189
1	-0.00149277546992799	<-	1.87743592262268
1	-0.0116806423828599	<-	1.74557304382324
1	-0.0185874737318757	<-	1.73181200027466
0	0.0729097811296517	->	1.66815614700317
0	0.0488517682136336	->	2.50963592529297
0	0.0143075610862609	->	2.55184602737427
0	0.00165808305271131	->	1.70824813842773
0	-0.0154708140910033	<-	1.86465501785278
1	0.0040240849188522	->	5.81677603721619
0	-0.00211166481482605	<-	12.0740189552307
1	0.00572527857374494	->	9.52644300460815
0	0.0362326191520198	->	2.79740500450134
1	-0.0111604257079414	<-	112.99503493309
1	0.0148408858889292	->	11.1253600120544
0	0.00100714097349219	->	57.7337160110474
1	0.000677563810618231	->	2.53575801849365
1	-0.0201297022866228	<-	2.7313129901886
1	0.00695808045887647	->	5.70057797431946
0	0.00376177890102913	->	89.6307168006897
1	0.00126666560204236	->	5.35779500007629
0	0.00211473606547641	->	3.47435402870178
1	-0.0107445356062534	<-	7.05153799057007
0	-0.00153271864812143	<-	4.40310788154602
1	0.00246276213850027	->	2.29686284065247
1	0.00920087747763776	->	3.35980296134949
1	-0.000220211720949215	<-	13.5590100288391
1	0.00161693310435096	->	9.3331298828125
0	-0.00520007949880053	<-	6.93634104728699
1	0.0123105304343515	->	65.977746963501
0	-0.000250988692503284	<-	5.47803997993469
1	-0.0238884861687031	<-	2.37870311737061
1	-0.0181253672354279	<-	1.5908579826355
0	-0.00496452659915836	<-	1.61439800262451
0	0.0150568202917739	->	1.60880088806152
1	0.000588092581558453	->	2.63335108757019
1	0.0113832785422502	->	137.778079986572
1	0.0440072728275392	->	79.3571310043335
1	0.0168263043606034	->	80.1806828975677
1	0.0116148691222435	->	1.90515995025635
1	0.0140491847883842	->	2.65551710128784
1	-0.00439952615598715	<-	28.0886340141296
1	0.0320854126475147	->	3.81862711906433
1	0.00120155710111558	->	4.10007500648499
1	0.0268440236837062	->	1.56379294395447
0	-0.00964220155480044	<-	1.55656695365906
1	0.0258767771619917	->	2.0653030872345
1	-0.00809790594587989	<-	2.02174592018127
0	0.0336914259105686	->	1.38232707977295
